country,total_infections,max_infections,lat,long,stringency_index,population,median_age,total_tests,government_effectiveness,law_enforcement_ability,corruption_level,human_freedom,iso_a3,gov_healthexp_pct_gdp,gov_healthexp_per_capita
Albania,2802.8384211951015,171.65908505707665,41.1533,20.1683,,2877797,36,1677.3247035840263,0.11,-0.39,-0.52,7.68,ALB,2.77003546,112.301534
Algeria,644.112372786381,49.257664196090744,28.0339,1.6596,61.9,43851044,29,76.60022871975409,-0.44,-0.78,-0.64,5.29,DZA,4.50014952,176.2653157
Antigua and Barbuda,3308.519437551696,234.86403414718828,17.0608,-61.7964,,97929,34,745.4380214236845,-0.01,0.39,0.28,6.86,ATG,2.60925041,377.31699710000004
Argentina,721.1957471953019,54.053726350609686,-38.4161,-63.6167,90.48,45195774,32,585.3865894629884,0.03,-0.24,-0.08,7.1,ARG,5.61809585,710.9350107999999
Armenia,5832.461259505211,374.92706470579697,40.0691,45.0382,,2963243,35,3250.4927878003928,-0.02,-0.15,-0.35,7.42,ARM,1.63330003,59.03871069
Australia,4884.022217512833,252.55016846351145,-35.4735,149.0124,71.43,25499884,38,14902.14622152791,1.6,1.72,1.81,8.73,AUS,6.31986614,3416.9823090000004
Austria,30761.24328505136,1591.7573262918204,47.5162,14.5501,95.24,9006398,43,17409.956788496354,1.45,1.88,1.6,8.42,AUT,7.56836059,3399.4891420000004
Azerbaijan,1389.2646316362757,123.58004993896448,40.1431,47.5769,,10139177,32,7436.205127891544,-0.1,-0.6,-0.83,6.44,AZE,1.37563334,53.53440392
Bahrain,13012.650044811424,982.0313533050263,26.0275,50.55,57.14,1701575,32,45034.74721948783,0.18,0.41,-0.15,7.15,BHR,2.98811374,674.6148282
Bangladesh,38.15060743776057,7.474677344562035,23.685,90.3563,95.24,164689383,28,103.24284231485645,-0.75,-0.64,-0.91,5.8,BGD,0.42468448,6.14438538
Barbados,4067.85558938669,254.02348847324924,13.1939,-59.5432,100.0,287375,40,3131.7964332318397,0.43,0.39,1.41,7.21,BRB,3.19484936,534.0517884999999
Belarus,2551.8230247817755,394.5256183961539,53.7098,27.9534,,9449323,40,8598.076285465106,-0.3,-0.83,-0.19,6.16,BLR,3.88144189,195.3959526
Belgium,38331.35900969341,2896.815539211241,50.8333,4.0,85.71,11589623,42,11588.21128176473,1.17,1.37,1.51,8.28,BEL,8.44288611,3489.871404
Bhutan,155.51938289908867,6.479974287462027,27.5142,90.4336,,771608,28,1511.1300038361449,0.36,0.55,1.65,6.85,BTN,2.55447091,67.54524033
Bolivia,353.2076229452513,34.01004761320998,-16.2902,-63.5887,61.9,11673021,26,187.1837633119995,-0.32,-1.15,-0.63,6.75,BOL,4.50729231,139.9493316
Bosnia and Herzegovina,4529.661648509107,338.3301547570896,43.9159,17.6791,,3280819,43,4493.69501944484,-0.62,-0.23,-0.57,7.27,BIH,6.533311599999999,314.140536
Brazil,1329.4353361911978,133.23333494088385,-14.235,-51.9253,76.19,212559417,33,296.31714693684916,-0.45,-0.28,-0.42,7.05,BRA,3.91095827,337.533552
Brunei,8484.978707549391,310.87206471624927,4.5353,114.7277,57.14,437479,32,24746.330681015548,1.25,0.63,0.8,6.66,BRN,2.22223139,598.6464062000001
Bulgaria,1788.4577052851394,107.50606790440163,42.7339,25.4858,80.95,6948445,45,2662.7540406522608,0.27,-0.03,-0.15,7.78,BGR,4.16140856,309.68866210000004
Cambodia,180.15469259012144,7.297102422309036,11.55,104.9167,,16718965,26,344.99743255638134,-0.57,-1.11,-1.33,7.22,KHM,1.32628594,16.93820917
Canada,8984.648835887852,747.3871258116322,53.9333,-116.5765,80.95,37742154,41,12392.933376298555,1.72,1.77,1.87,8.69,CAN,7.73706577,3274.2888510000002
Chile,5350.0169829769,432.77427350758654,-35.6751,-71.543,71.43,19116201,35,4806.028143353379,1.08,1.12,1.01,8.11,CHL,4.98680197,696.1040916000001
Colombia,728.0639773396524,61.0224761010533,4.5709,-74.2973,80.95,50882891,31,955.6846917365604,-0.09,-0.41,-0.3,6.78,COL,3.74948167,215.8524725
Costa Rica,2088.683458058883,122.8868275136147,9.7489,-83.7534,100.0,5094118,33,1784.2146569828183,0.38,0.48,0.55,7.81,CRI,5.64846699,664.4844497
Croatia,6518.699027371423,424.0893466856114,45.1,15.2,100.0,4105267,44,4910.277455765971,0.46,0.32,0.13,7.46,HRV,5.61816563,692.0838371
Cuba,725.6359710614362,71.86612488672698,22.0,-80.0,61.9,11326616,42,1805.570172061982,-0.24,-0.44,0.17,6.2,CUB,10.92339535,869.7039027000001
Cyprus,8280.884144649604,592.2016566737814,35.1264,33.4299,,1207359,37,14844.79761197788,0.92,0.75,0.64,8.39,CYP,2.90331575,689.7529479
Czech Republic,9633.036047033793,580.4473833691553,49.8175,15.473,90.48,10708981,43,13633.790180410257,0.92,1.05,0.5,8.3,CZE,5.85397147,1082.120393
Denmark,19440.447691568766,1187.1132947366132,61.8926,-6.9118,80.95,5792202,42,14222.570276381935,1.87,1.83,2.15,8.73,DNK,8.70670385,4681.911653
Dominican Republic,3704.1236514683474,333.151731531696,18.7357,-70.1627,76.19,10847910,28,855.0034061860764,-0.4,-0.4,-0.75,6.6,DOM,2.81725198,189.3820608
Ecuador,5364.264032746259,445.3877429610543,-1.8312,-78.1834,47.62,17643054,28,1478.9389637417648,-0.26,-0.63,-0.56,6.7,ECU,4.29349231,258.4050616
Egypt,301.9707819864764,24.478571253515096,26.0,30.0,95.24,102334404,25,244.2971182985538,-0.58,-0.41,-0.59,5.82,EGY,1.35885288,38.37808087
El Salvador,237.58114336503397,24.513563786528486,13.7942,-88.8965,85.71,6486205,28,1284.7265851140999,-0.45,-0.82,-0.59,7.4,SLV,4.48540936,189.4488049
Equatorial Guinea,317.89363393051246,36.35106576335456,1.5,10.0,,1402985,22,608.702160037349,-1.29,-1.42,-1.56,4.48,GNQ,0.79394826,66.16160298
Estonia,18628.984534897307,1055.381124508588,58.5953,25.0136,,1326535,42,27156.464020926698,1.19,1.24,1.51,8.44,EST,5.0403614999999995,893.8944789999999
Ethiopia,8.959358505755752,0.7393645368827563,9.145,40.4897,,114963588,19,46.87571163836675,-0.61,-0.43,-0.49,5.33,ETH,1.09749129,7.60112056
Finland,8932.593597943951,584.2201013586682,64.0,26.0,52.38,5540720,43,8969.953363461787,1.98,2.05,2.21,8.7,FIN,7.34383511,3185.112983
France,30858.260405204797,2112.2657244529105,3.9339,-53.1258,95.24,65273511,42,5113.973415647888,1.48,1.44,1.32,8.25,FRA,9.56559676,3534.149827
Gambia,49.65514501785103,3.724135876338827,13.4432,-15.3101,,2416668,18,116.27579791680115,-0.62,-0.43,-0.46,6.52,GMB,0.8227934000000001,3.88610619
Georgia,1109.504816419067,76.70774374700282,42.3154,43.3569,,3989167,38,1260.1628360005986,0.61,0.33,0.71,7.48,GEO,3.0835446,112.5910845
Germany,26883.779233018184,1608.3392208974842,51.0,9.0,80.95,83783942,46,20628.738141731264,1.62,1.63,1.95,8.42,DEU,9.43162482,3991.603439
Ghana,210.82652623150562,20.467969879901936,7.9465,-1.0232,66.67,31072940,22,1632.2562332370223,-0.21,0.07,-0.11,7.21,GHA,1.70632896,25.89339585
Greece,3984.244924760056,210.30304553732526,39.0742,21.8243,66.67,10423054,46,4871.029162853805,0.34,0.15,-0.07,7.77,GRC,5.13545281,917.6352402000001
Guatemala,102.75978969798781,10.04712772712537,15.7835,-90.2308,52.38,17915568,23,401.8851090850148,-0.68,-1.05,-0.82,7.21,GTM,2.16600154,89.81812607
Guyana,840.3767328797079,69.92544676003621,5.0,-58.75,85.71,786552,27,270.80218472523114,-0.27,-0.32,-0.23,6.68,GUY,2.50079162,113.3169584
Haiti,44.81462356417805,3.59569386718454,18.9712,-72.2852,,11402528,24,32.01044540298432,-1.91,-1.03,-1.27,7.04,HTI,0.82592345,5.78500642
Honduras,566.8069414566372,42.30354621844158,15.2,-86.2419,71.43,9904607,24,203.13779234249273,-0.62,-1.02,-0.62,7.13,HND,3.85723152,91.61283474
Hungary,1920.323599007945,163.45161785529325,47.1625,19.5033,85.71,9660351,43,3984.2237616417874,0.49,0.56,0.05,8.11,HUN,4.85070112,620.8227966
Iceland,101807.21655828838,5060.909674337642,64.9631,-19.0208,38.1,341243,37,109558.2913056092,1.47,1.72,1.84,8.22,ISL,6.75842081,4127.349484
India,77.07004496221221,8.928957135161568,21.0,78.0,100.0,1380004385,28,198.9841503293484,0.28,0.03,-0.19,6.8,IND,0.93019386,15.94651501
Indonesia,217.1439566561739,18.777172128263953,-0.7893,113.9213,66.67,273523615,30,131.61569248783144,0.18,-0.31,-0.25,6.81,IDN,1.39761319,49.89876877
Iran,17634.194508398556,909.4691984204532,32.0,53.0,71.43,83992949,32,3694.833955645491,-0.43,-0.69,-0.96,5.29,IRN,4.41807148,226.4938859
Iraq,578.208814655024,35.17932118230464,33.0,44.0,76.19,40222493,21,1146.9950408096286,-1.32,-1.76,-1.4,4.28,IRQ,0.69960952,32.24182336
Ireland,26234.8348024803,2541.0173709431715,53.1424,-7.6921,66.67,4937786,38,18357.62019658203,1.42,1.46,1.55,8.48,IRL,5.31728824,3429.354062
Israel,20252.589816805084,1444.2781410969974,31.0,35.0,100.0,8655535,30,21633.55586916349,1.21,0.99,0.79,7.41,ISR,4.571548,1773.2281670000002
Italy,54660.32401998577,2731.558256278929,43.0,12.0,95.24,60461826,47,18481.14874995671,0.41,0.25,0.24,8.01,ITA,6.65374499,2039.3560969999999
Jamaica,454.55052011588674,42.21308693498205,18.1096,-77.2975,,2961167,31,469.7472314124803,0.5,-0.24,-0.16,7.16,JAM,3.67747593,179.4084002
Japan,805.5411986899286,64.04353771410477,36.0,138.0,66.67,126476461,48,745.0872617316514,1.68,1.53,1.42,8.31,JPN,9.13267407,3538.209507
Jordan,758.4924396758879,39.30164986561972,31.24,36.51,,10203134,24,2009.1865891401603,0.11,0.23,0.15,6.59,JOR,3.45735318,141.3351758
Kazakhstan,715.9402338226826,68.96842987431182,48.0196,66.9237,61.9,18776707,31,4566.029602528281,0.02,-0.43,-0.5,6.91,KAZ,2.07302569,154.0352728
Kenya,53.37420173023168,4.184388637387501,-0.0236,37.9062,59.52,53771296,20,179.09183368018506,-0.41,-0.41,-0.85,6.61,KEN,1.64588184,23.95246096
South Korea,8035.157960868696,206.576328451486,36.0,128.0,80.95,51269185,44,10508.749066325123,1.18,1.24,0.6,8.15,KOR,4.34050531,1209.043661
Kyrgyzstan,696.0245670155475,68.82075106584031,41.2044,74.7661,,6524195,26,4007.6975013775645,-0.61,-0.91,-0.95,6.65,KGZ,2.5908803,28.49957372
Latvia,6278.768188705533,353.09124492762686,56.8796,24.6032,,1886198,44,16595.288511598465,1.04,0.96,0.33,8.16,LVA,3.41067308,477.5999127
Lebanon,2015.3997285158698,96.40397073011357,33.8547,35.8623,95.24,6825445,30,2654.0394069544186,-0.64,-0.76,-1.11,6.72,LBN,4.17931965,345.183134
Liechtenstein,48546.99958036089,2071.9681074276123,47.14,9.55,,38128,43.4,23604.699958036086,1.74,1.68,2.01,8.0,LIE,nan,nan
Lithuania,6253.560882037139,400.7656791766047,55.1694,23.8813,,2722289,45,17829.480999262018,1.07,0.96,0.5,7.94,LTU,4.37671608,648.1181336
Luxembourg,98835.74183118257,5388.368281313401,49.8153,6.1296,,625978,40,49079.99961659995,1.78,1.81,2.09,8.46,LUX,5.0053057999999995,5092.7246780000005
Malaysia,2757.307135800134,156.7076610241507,2.5,112.5,85.71,32365999,30,2693.660096819505,1.08,0.62,0.31,6.38,MYS,1.91902636,182.4657085
Malta,13989.577459047025,903.6492482045916,35.9375,14.3754,,441543,43,47931.91150125809,0.97,1.05,0.58,8.42,MLT,5.86634892,1469.082741
Mauritania,30.754950149021713,1.5054870702318321,21.0079,10.9408,,4649658,20,153.34461158218517,-0.73,-0.69,-0.81,5.52,MRT,1.55438939,17.14234802
Mauritius,3783.7089783671236,254.76344742122777,-20.2,57.5,,1271768,37,6509.8351271615575,0.88,0.78,0.27,8.18,MUS,2.53455457,243.98448050000002
Mexico,401.2401720763691,41.87454214989111,23.6345,-102.5528,76.19,128932753,29,310.9450396983302,-0.15,-0.67,-0.86,6.94,MEX,2.8519693999999998,240.81204739999998
Moldova,5032.768024892643,507.9372319478388,47.4116,28.3699,,4033963,38,1554.550698655392,-0.47,-0.41,-0.73,7.17,MDA,4.38192468,83.52589378
Mongolia,124.15009044349341,9.151112317702216,46.8625,103.8467,61.9,3278290,28,328.5249322055096,-0.23,-0.27,-0.43,7.17,MNG,2.1588159,79.74844397
Montenegro,6634.653046017457,458.5505344979668,42.5,19.3,,628066,39,6168.141564740011,0.13,0.1,0.02,7.67,MNE,5.73301587,398.9023898
Morocco,626.7312118808276,54.8352558183891,31.7917,-7.0926,71.43,36910560,30,309.74875482788667,-0.21,-0.14,-0.22,6.24,MAR,2.73529496,80.33456957
Namibia,129.48142492537107,6.296968993331116,-22.9576,18.4904,,2540905,22,142.4689234741165,0.11,0.24,0.34,6.97,NAM,5.6463848,249.2869749
Nepal,8.20268301181104,0.5491335907488563,28.1667,84.25,,29136808,25,542.2694208644956,-0.9,-0.48,-0.67,6.83,NPL,1.16947516,8.44496511
Netherlands,24417.748787385164,1652.5364181302316,12.5186,-70.0358,85.71,17134872,43,8634.321867125707,1.85,1.82,2.01,8.49,NLD,8.38861624,3839.9307479999998
New Zealand,4301.3267919654645,287.4187124512648,-40.9006,174.886,100.0,4822233,38,14549.276237792741,1.67,1.88,2.17,8.94,NZL,7.25341615,2945.760491
Niger,213.28855003609752,24.125607828991082,17.6078,8.0817,,24206644,15,182.88367441599917,-0.77,-0.58,-0.58,6.0,NER,1.51293619,5.50951516
Nigeria,24.177791486719226,1.974390275901831,9.082,8.6753,80.95,206139589,18,24.255408794862785,-1.02,-0.88,-1.04,6.1,NGA,0.47496933,10.33368986
North Macedonia,5838.126039779704,467.51087418773585,41.6086,21.7453,,2083374,39,4445.673220458737,0.09,-0.28,-0.36,7.55,MKD,4.0326809,208.3961176
Norway,26110.25778046023,1243.257770683871,60.472,8.4689,76.19,5421241,40,24019.592561924474,1.89,1.97,2.09,8.61,NOR,8.93920884,6365.950215999999
Pakistan,353.07697858603876,28.89642981734903,30.3753,69.3451,100.0,220892340,23,357.545218634562,-0.63,-0.67,-0.79,5.44,PAK,0.76798214,11.04167951
Panama,9973.88735011647,828.3181919209079,8.538,-80.7821,90.48,4314767,30,3906.1205390696646,-0.02,-0.06,-0.57,7.53,PAN,4.763161900000001,682.7036682999999
Papua New Guinea,4.135453308273232,0.2235380166634179,-6.315,143.9555,80.95,8947024,22,18.665424391395398,-0.68,-0.77,-0.88,6.99,PNG,1.3830432,38.60594241
Paraguay,324.98950583929593,22.57261019850157,-23.4425,-58.4438,95.24,7132538,26,545.1075059116405,-0.52,-0.54,-0.85,7.02,PRY,4.14268173,168.92857469999998
Peru,2517.2985419624874,348.02410565083784,-9.19,-75.0152,80.95,32971854,31,3317.526518223695,-0.25,-0.52,-0.54,7.46,PER,3.29590879,202.75377969999997
Philippines,639.5812240503785,49.762240886150074,13.0,122.0,90.48,109581078,26,439.5923172064432,0.05,-0.48,-0.54,6.92,PHL,1.38354204,40.82935177
Poland,2472.6124090740914,200.33497847403035,51.9194,19.1451,76.19,37846611,42,4467.269209388392,0.66,0.43,0.64,8.02,POL,4.54206336,563.8930306
Portugal,24289.99395785444,1774.1998913571035,39.3999,-8.2245,80.95,10196709,46,20429.532705111033,1.21,1.14,0.85,8.11,PRT,6.02253675,1194.9442179999999
Qatar,14975.427387139354,1288.0707158111982,25.3548,51.1839,85.71,2881053,32,19569.580983064177,0.63,0.73,0.72,6.22,QAT,2.51368509,1491.390983
Romania,4549.50648703111,375.09699058998297,45.9432,24.9668,95.24,19237691,43,4139.21816292818,-0.25,0.33,-0.12,8.0,ROU,3.89407157,372.4622871
Russia,1169.785379412301,167.81505659711823,60.0,90.0,85.71,145934462,40,11055.736786832435,-0.06,-0.82,-0.85,6.49,RUS,3.0019096000000003,267.1702482
Rwanda,172.24849056740706,10.500132100926653,-1.9403,29.8739,95.24,12952218,20,481.5391464226436,0.21,0.12,0.58,7.0,RWA,2.2906235,16.28961382
Saudi Arabia,1792.9922242775012,168.38116048629007,24.0,45.0,95.24,34813871,32,4308.627443354403,0.32,0.14,0.36,5.66,SAU,3.89302768,777.9073913999999
Serbia,5355.272198010134,557.7192498750481,44.0165,21.0059,,8737371,42,3373.0970105309707,0.11,-0.15,-0.37,7.19,SRB,5.298753700000001,286.78759260000004
Singapore,7175.990736951789,632.2707287881632,1.2833,103.8333,42.86,5850342,42,12423.205344234577,2.23,1.84,2.17,8.1,SGP,2.43704803,1342.624304
Slovakia,2348.505634618534,158.06897228792658,48.669,19.699,80.95,5459642,41,6311.402835570537,0.71,0.53,0.36,7.33,SVK,5.68866186,941.0975975
Slovenia,11920.990428766996,600.3065026470246,46.1512,14.9955,100.0,2078938,45,18344.462413020494,1.13,1.06,0.87,7.88,SVN,6.12153961,1325.87342
South Africa,646.9709582187702,42.25350450330298,-30.5595,22.9375,100.0,59308690,28,1526.167581850147,0.34,-0.1,-0.02,6.78,ZAF,4.35733707,230.05547280000002
Spain,62546.91231771008,3799.483338365974,40.0,-4.0,90.48,46754778,45,19895.9344860968,1.0,0.97,0.61,8.22,ESP,6.39032348,1702.507336
Sri Lanka,202.2579572114442,11.114614134454795,7.0,81.0,95.24,21413249,34,222.66588316420362,-0.24,0.03,-0.34,5.69,LKA,1.67771562,65.97404606
Sweden,16925.78618344998,1180.9770314968466,63.0,16.0,52.38,10099265,41,7386.676159106628,1.83,1.9,2.14,8.48,SWE,9.13114823,4768.654941
Switzerland,57451.03598978673,3042.9982961705314,46.8182,8.2275,80.95,8654622,43,22993.494112163422,2.04,1.93,2.01,8.83,CHE,7.68887756,6174.882702
Thailand,702.1921983986872,37.86534144752883,15.0,101.0,85.71,69799978,40,1439.7998807392175,0.35,0.02,-0.4,7.11,THA,2.89993864,173.3959257
Togo,145.79541484895498,9.78411648944934,8.6195,0.8248,,8278724,19,366.72318101195305,-1.06,-0.59,-0.73,5.67,TGO,1.32633834,7.77303611
Trinidad and Tobago,1677.7564366396855,81.45836191521471,10.6918,-61.2225,,1399488,36,916.0492980289935,0.19,-0.12,-0.32,6.81,TTO,3.43698692,561.6181674
Tunisia,996.9015838483328,65.9975585980054,34.0,9.0,100.0,11818619,33,1111.5511888487142,-0.11,0.04,-0.05,6.1,TUN,3.93730636,145.27227549999998
Turkey,7838.028371833897,822.7741006430626,38.9637,35.2433,95.24,84339067,32,5664.2315002133,0.01,-0.32,-0.34,6.96,TUR,3.38424656,367.61715
Uganda,21.46870094049307,1.202422150434948,1.0,32.0,,45741007,17,168.18606551447368,-0.61,-0.29,-1.04,6.4,UGA,1.02082965,6.227106099999999
Ukraine,741.5323657726952,86.06622956424376,48.3794,31.1656,95.24,43733762,41,979.1748535147742,-0.42,-0.72,-0.87,6.81,UKR,2.85304109,59.88135541
United Arab Emirates,4885.847915989664,542.4450896940286,24.0,54.0,95.24,9890402,33,77549.93174190493,1.43,0.81,1.15,6.56,ARE,2.54892462,958.9619755000001
United Kingdom,16476.70828677796,1465.441827182923,32.3078,-64.7505,71.43,67886011,40,5876.262194872519,1.34,1.64,1.83,8.55,GBR,7.8318788,3175.334765
Uruguay,2648.1620621061506,142.21024662250665,-32.5228,-55.7658,80.95,3473730,36,3007.7179285666994,0.56,0.6,1.27,7.93,URY,6.49598543,988.7257085000001
US,22725.688079156804,1922.4921555084463,37.0902,-95.7129,66.67,331002651,38,9864.479907141287,1.58,1.45,1.32,8.39,USA,13.97379764,8077.925836
Venezuela,134.40737320447292,6.927852569670636,6.4238,-66.5897,85.71,28435940,30,7912.8384713148225,-1.58,-2.34,-1.47,5.27,VEN,0.77412866,nan
Vietnam,68.56479793073618,2.7430028539865985,16.0,108.0,100.0,97338579,32,1396.5480223416862,0.0,0.0,-0.49,6.31,VNM,2.6842476000000004,58.26556802
Zambia,43.67939325351917,2.6109724485291657,-15.4167,28.2833,33.33,18383955,18,92.25435984803053,-0.56,-0.34,-0.66,6.67,ZMB,1.7143074,21.65057408
Zimbabwe,16.0129998646296,1.5474747768339527,-20.0,30.0,100.0,14862924,19,48.17356261796131,-1.2,-1.27,-1.24,4.96,ZWE,4.37772571,43.68682584
Dominica,4153.585419387103,222.2654405023199,15.415,-61.371,,71986,34.0,4792.598560831272,-0.29,0.62,0.55,8.48,DMA,3.40812007,269.469386
Grenada,2124.010202358629,124.4190076695431,12.1165,-61.679,,112523,32,817.6106218284261,-0.25,0.31,0.38,8.04,GRD,2.16904519,213.4940781
Mozambique,9.56633622280413,0.9278386303054172,-18.665695,35.529562,,31255435,18,25.371587373523997,-0.87,-1.04,-0.78,6.14,MOZ,2.70240725,10.24564935
Belize,399.871236432042,45.26844186023117,13.1939,-59.5432,66.67,397628,25,1425.9559185972819,-0.59,-0.82,-0.14,7.37,BLZ,4.06011333,201.37145980000003
Laos,36.83565251334605,2.6114828274387127,19.85627,102.495496,52.38,7275560,24,177.0310464074243,-0.67,-0.84,-0.98,6.2,LAO,0.76494844,17.88978896
Libya,53.41062495961458,6.985585825780654,26.3351,17.228331,,6871292,29,92.26794611551946,-1.85,-1.79,-1.55,4.98,LBY,nan,nan
Guinea-Bissau,226.62590110472505,21.849582393504882,11.8037,-15.1804,,1968001,19,762.194734657147,-1.49,-1.23,-1.53,5.97,GNB,2.69496102,17.28201058
Burma,10.03495693790457,1.3600491088002529,21.9162,95.956,80.95,54409800,29,59.47457994699484,-1.07,-1.03,-0.59,4.81,MMR,1.02208923,12.47704064
Botswana,58.682775797352214,5.52808757511289,-22.3285,24.6849,100.0,2351627,24,1463.2422573818042,0.33,0.47,0.75,6.81,BWA,3.05569285,212.49957719999998
Malawi,6.534255809946622,0.8363847436731676,-13.254307999999998,34.301525,59.52,19129952,18,17.929997942493532,-0.73,-0.38,-0.74,6.68,MWI,2.75722454,8.29870411
